feature,xgb_importance,iv
annual_inc,0.1348698996883756,0.08581903846736008
application_type,0.0,0.0
credit_hist_yrs,0.04730384659090423,0.01864585444624942
delinq_2yrs,0.003905960725881685,0.00035309005851916854
dti,0.05148877196917483,0.034873279642827174
emp_length_yrs,0.021577595487823977,0.01188736030571342
fico,0.03326610194419565,0.13865655325626447
grade,0.04428681298299751,0.23639836210251458
home_ownership,0.009551514356613566,0.02824861514499107
inq_last_6mths,0.03999032463282022,0.030561079946418917
installment,0.04006779289499288,0.0022695571119347277
int_rate,0.29892240176024837,0.2412768492080654
loan_amnt,0.034568934448754286,0.004243894387035964
mort_acc,0.019997502357165128,0.03007626774640933
open_acc,0.02415419000783882,0.00045392314381371426
pub_rec,0.002841349171517307,1.3505809770386562e-06
pub_rec_bankruptcies,0.002516975109347483,0.006829546767887361
purpose,0.04752753428127271,0.022802108151770816
revol_bal,0.05510091053450795,0.009470698685605017
revol_util,0.04078961257050452,0.0356580562506758
sub_grade,0.014805092083375142,0.26391152986518157
total_acc,0.02492123398532943,0.011590640544851366
verification_status,0.007545642416358737,0.0010044591437381196
