model,calibration,auc_mean,auc_std,ks_mean,brier_mean,brier_std,ece_mean,ece_std
lightgbm,isotonic,0.6841065798256507,0.0005024000404817168,0.2688393087642579,0.12043232850437657,3.118973333085362e-05,0.021795753649709294,0.0003982001628565647
lightgbm,platt,0.6842721738943398,0.0005097969055710352,0.26934686367429245,0.12043597748192977,4.444315280642126e-05,0.02165552406451175,0.0003870333941377672
lightgbm,raw,0.6842721738943398,0.0005097969055710352,0.26934686367429245,0.1212940562964143,6.284911359893685e-05,0.034399628324358396,0.000580095421315766
mlp,isotonic,0.6713912624841906,0.005583035308958268,0.2536766421373936,0.12124484840167622,0.0003680648118428042,0.017166292125839366,0.0002121065681216807
mlp,platt,0.6716156496317176,0.00560521756171295,0.25424581504719945,0.12129034422937379,0.0003903544109492984,0.01723956265626398,0.0003020797538785507
mlp,raw,0.6716156486562853,0.005605218032214706,0.25424581504719945,0.1217620393579207,0.0005685186148133009,0.02746151904903733,0.003529977216195411
scorecard,isotonic,0.6765625475363142,,0.25642665290439276,0.12093623089044371,,0.017463494239941757,
scorecard,platt,0.6767475997552964,,0.2569943403194694,0.12094911356841248,,0.01816533943583433,
scorecard,raw,0.6767475997552964,,0.2569943403194694,0.12130078984127944,,0.024576575752916965,
xgboost,isotonic,0.684787151863943,0.0004591168747683078,0.26986493468284606,0.12034255713224411,3.359937298143628e-05,0.021433339634866277,0.00028322972830124887
xgboost,platt,0.6850347373337871,0.00041543654334552947,0.27008724212646484,0.12034020870923996,3.669539250572868e-05,0.021289271267965426,0.0003088675581774008
xgboost,raw,0.6850347375702555,0.00041543611242018854,0.27008724212646484,0.12115498185157776,5.1058689560227926e-05,0.03382710740249249,0.0005512392306097916
