model,calibration,auc_mean,auc_std,ks_mean,brier_mean,brier_std,ece_mean,ece_std
lightgbm,isotonic,0.6662265072616687,0.00017181369744556445,0.2397886076680893,0.12142251882047592,2.8015197965441022e-05,0.01519814605366967,9.832693109398251e-05
lightgbm,platt,0.6664288589598353,0.00015833962481642073,0.24087338605591074,0.1214383890776396,1.3660822104923774e-05,0.015650344220375617,0.0001045950403701154
lightgbm,raw,0.6664288589598353,0.00015833962481642073,0.24087338605591074,0.1217620196344749,2.3547954048351974e-05,0.02247887229763699,0.00012288324133889823
mlp,isotonic,0.6486031057874246,0.011620417206923214,0.2172255424400938,0.12255490793725314,0.0006740711515860185,0.013835652592938332,0.0007059916942656904
mlp,platt,0.6488385064623171,0.011566375705259927,0.2180484223373223,0.12259102410372047,0.0006839532932912105,0.013855465155518665,0.0007104168640095814
mlp,raw,0.6488385060879087,0.011566376001652685,0.2180484223373223,0.12283322111829445,0.0007377361103471186,0.020527238651083485,0.004973079071312359
scorecard,isotonic,0.639395336545314,,0.19808292518703535,0.12312192049789862,,0.015269878778208554,
scorecard,platt,0.6396559698903508,,0.19856096387013628,0.12314247305638089,,0.016176693019550107,
scorecard,raw,0.6396559698903508,,0.19856096387013628,0.12338382396508743,,0.021548091064162018,
xgboost,isotonic,0.667605922387428,0.0002710865152048997,0.2424546718597412,0.12129968106746673,1.2798651719698267e-05,0.015211664626297649,0.0001056897620714784
xgboost,platt,0.6678219946445243,0.00023094984531147965,0.24322102069854737,0.12130717039108277,1.4526075243615342e-05,0.015438634951973318,0.00011897865962636905
xgboost,raw,0.6678219949401099,0.0002309489930098376,0.24322102069854737,0.12160920649766922,1.9612252478252526e-05,0.02277674213312052,0.00017956441112444723
