model,calibration,auc_mean,auc_std,ks_mean,brier_mean,brier_std,ece_mean,ece_std
lightgbm,isotonic,0.6620388940433886,0.00015118694672860085,0.23458197536307704,0.12168668439666672,1.8842732604693737e-05,0.014030906608906222,7.005291628632725e-05
lightgbm,platt,0.662244835943325,0.00018591260564143616,0.2351769507629935,0.12169401116003387,1.0658472744094195e-05,0.014400346072480027,5.405454866443145e-05
lightgbm,raw,0.662244835943325,0.00018591260564143616,0.2351769507629935,0.12195332397441919,1.0478607524838325e-05,0.020333324780858177,0.00013495952517341133
mlp,isotonic,0.6425731484037902,0.0062915451451767464,0.20760545244384776,0.12292518137799849,0.0003671388667833647,0.014153745650587224,0.00030427368084259723
mlp,platt,0.6427553560848115,0.006258038580140977,0.2084654386137074,0.12296568850041496,0.00037151302507509485,0.014158708326841778,0.00028748582295810724
mlp,raw,0.6427553545083553,0.006258039445466927,0.2084654386137074,0.1232519480117548,0.0003447534463235016,0.022330930778985233,0.0015143896343152578
scorecard,isotonic,0.639395336545314,,0.19808292518703535,0.12312192049789862,,0.015269878778208554,
scorecard,platt,0.6396559698903508,,0.19856096387013628,0.12314247305638089,,0.016176693019550107,
scorecard,raw,0.6396559698903508,,0.19856096387013628,0.12338382396508743,,0.021548091064162018,
xgboost,isotonic,0.6634411149242987,0.0002813125278462266,0.23642096519470215,0.1215773954987526,1.7887746562712797e-05,0.013758849868136103,9.724779943566144e-05
xgboost,platt,0.6636516675843731,0.000265835759526398,0.23717969059944152,0.12157354354858399,2.5084482484986547e-05,0.014031557369235522,0.00019094441273995495
xgboost,raw,0.6636516677715772,0.00026583617297368646,0.23717969059944152,0.12178177237510682,2.7539232858507943e-05,0.019597823072692148,0.00012314414087937652
