model,seed,calibration,auc,ks,brier,ece
scorecard,42,raw,0.6767475997552964,0.2569943403194694,0.12130078984127944,0.024576575752916965
scorecard,42,platt,0.6767475997552964,0.2569943403194694,0.12094911356841248,0.01816533943583433
scorecard,42,isotonic,0.6765625475363142,0.25642665290439276,0.12093623089044371,0.017463494239941757
xgboost,42,raw,0.6852716214441628,0.2702130675315857,0.12114805728197098,0.03415661049361871
xgboost,42,platt,0.6852716227250333,0.2702130675315857,0.12031759321689606,0.02149754859343693
xgboost,42,isotonic,0.6850137395079339,0.2703455984592438,0.12031404674053192,0.02154268357132353
xgboost,43,raw,0.6855296838846328,0.27105122804641724,0.12108941376209259,0.03319697433952557
xgboost,43,platt,0.6855296833427259,0.27105122804641724,0.12029671669006348,0.02104010812483592
xgboost,43,isotonic,0.6854140817070073,0.2708060145378113,0.12030758708715439,0.021210039251613386
xgboost,44,raw,0.6844603847897506,0.26918652653694153,0.1211884543299675,0.03349362320464652
xgboost,44,platt,0.6844603837059371,0.26918652653694153,0.12038712948560715,0.020909583601622372
xgboost,44,isotonic,0.6842303835169435,0.26908978819847107,0.12037760764360428,0.0210945104599613
xgboost,45,raw,0.685109266845285,0.26954546570777893,0.12112867087125778,0.03369831883409045
xgboost,45,platt,0.6851092664019067,0.26954546570777893,0.1203325167298317,0.021352026308147802
xgboost,45,isotonic,0.684788358729882,0.2696252763271332,0.12033618986606598,0.02151526006254709
xgboost,46,raw,0.6848027308874463,0.27043992280960083,0.12122031301259995,0.03459001014058122
xgboost,46,platt,0.6848027304933322,0.27043992280960083,0.12036708742380142,0.0216470897117841
xgboost,46,isotonic,0.6844891958579485,0.26945799589157104,0.12037735432386398,0.02180420482888608
lightgbm,42,raw,0.6839777312280199,0.2676302449299648,0.12124828620091213,0.033574597829474015
lightgbm,42,platt,0.6839777312280199,0.2676302449299648,0.12043003813006913,0.021188441455411298
lightgbm,42,isotonic,0.6838319627717239,0.26731501062841684,0.12041805791617417,0.021309526039037765
lightgbm,43,raw,0.6835106906427186,0.26854001704658415,0.12138413578010002,0.03493796355733292
lightgbm,43,platt,0.6835106906427186,0.26854001704658415,0.12050782519405313,0.02190173106626519
lightgbm,43,isotonic,0.6833549069105697,0.26812999614506794,0.12048330435682592,0.022076615047108245
lightgbm,44,raw,0.684608983034289,0.2706087540847588,0.12127157206635816,0.03445702245366873
lightgbm,44,platt,0.684608983034289,0.2706087540847588,0.12042340989023938,0.021839789343819777
lightgbm,44,isotonic,0.6844122349878211,0.2694703199441853,0.12041974330427871,0.021984683354154173
lightgbm,45,raw,0.6846542427977887,0.27024555275167833,0.12133237338286065,0.03493019899115232
lightgbm,45,platt,0.6846542427977887,0.27024555275167833,0.12043300142745873,0.022051831536762736
lightgbm,45,isotonic,0.6845566584806101,0.2700595839219122,0.12043815330710192,0.022180218865728747
lightgbm,46,raw,0.6846092217688831,0.2697097495584762,0.12123391405184053,0.03409835879016398
lightgbm,46,platt,0.6846092217688831,0.2697097495584762,0.1203856127678285,0.02129582692029975
lightgbm,46,isotonic,0.6843771359775284,0.26922163318170717,0.12040238363750215,0.021427724942517545
mlp,42,raw,0.6750551410504242,0.26114349711901164,0.12156380962451048,0.026916842472876564
mlp,42,platt,0.6750551428732017,0.26114349711901164,0.12111587838912712,0.017291801469633588
mlp,42,isotonic,0.6748179985293098,0.259876455480086,0.12106639314312212,0.017377848349318256
mlp,43,raw,0.6624168291928036,0.24317421260981803,0.12263945586983674,0.03231061149664334
mlp,43,platt,0.6624168314589596,0.24317421260981803,0.12190678821295367,0.017290259785955688
mlp,43,isotonic,0.662219938329252,0.2427443259948026,0.12183306715914093,0.017345395696450005
mlp,44,raw,0.6700593178752133,0.25275334449904197,0.12198554645122206,0.028132504799244323
mlp,44,platt,0.6700593176781564,0.25275334449904197,0.12144105601991922,0.017659452845016747
mlp,44,isotonic,0.6698678322367824,0.25255977143547204,0.12137664861272615,0.01704059786007288
mlp,45,raw,0.6754216310683099,0.2580224341485472,0.12119598547996269,0.022404279960228545
mlp,45,platt,0.6754216319550665,0.2580224341485472,0.12101284107253298,0.01682529628557195
mlp,45,isotonic,0.6752403777147884,0.2577849323431994,0.12097072623812737,0.016872223090266928
mlp,46,raw,0.6751253240946754,0.25613558685957855,0.12142539936407146,0.027543356516193888
mlp,46,platt,0.6751253241932038,0.25613558685957855,0.12097515745233602,0.017131002895141918
mlp,46,isotonic,0.6748101656108205,0.2554177254334081,0.12097740685526456,0.017195395633088757
