model,calibration,auc_mean,auc_std,ks_mean,brier_mean,brier_std,ece_mean,ece_std
lightgbm,isotonic,0.7850270703238198,0.0010969839518274597,0.4454728868609955,0.13341875504657622,0.0001671661160397902,0.015962251956229773,0.0013987120319614813
lightgbm,platt,0.785906079772349,0.0007166625256663457,0.4503742982462223,0.1329739851565586,8.980162741309406e-05,0.014457307953294408,0.0018401889316241907
lightgbm,raw,0.785906079772349,0.0007166625256663457,0.4503742982462223,0.1335988814269072,0.0003647843131538265,0.025646496335126213,0.0057796215330197355
mlp,isotonic,0.7651814984863099,0.004408391137300964,0.41661912917945954,0.13624635673048094,0.00043163251273265103,0.01713044095486745,0.0022272103697558096
mlp,platt,0.7662100788718594,0.004146531109472883,0.4197678755814923,0.1362057673807177,0.0005020087711755974,0.01997024587974397,0.002753722181128042
mlp,raw,0.7662100788718594,0.004146531109472883,0.4197678755814923,0.13592768808006947,0.0004651621333062312,0.015667735407813202,0.00334354338191668
scorecard,isotonic,0.7691724542421784,,0.41864913335131954,0.13629897240744723,,0.012692429861745885,
scorecard,platt,0.771718385420841,,0.4212630366593126,0.1360841941200369,,0.017073113419692157,
scorecard,raw,0.771718385420841,,0.4212630366593126,0.1359462110290652,,0.014811306122061585,
xgboost,isotonic,0.7872740208909074,0.0010355667024863125,0.44976409077644347,0.13300229907035827,0.00022810479979834444,0.016153797461563067,0.002914002602479019
xgboost,platt,0.7880126997417058,0.00086102395244375,0.45268467664718626,0.1324017107486725,0.00017805699814849108,0.013673594759901367,0.0011169413784020974
xgboost,raw,0.7880126997417058,0.00086102395244375,0.45268467664718626,0.13239209353923798,0.00017472516698050655,0.012579614129196854,0.00168542898437328
