model,seed,calibration,auc,ks,brier,ece
scorecard,42,raw,0.771718385420841,0.4212630366593126,0.1359462110290652,0.014811306122061585
scorecard,42,platt,0.771718385420841,0.4212630366593126,0.1360841941200369,0.017073113419692157
scorecard,42,isotonic,0.7691724542421784,0.41864913335131954,0.13629897240744723,0.012692429861745885
xgboost,42,raw,0.7866902346385003,0.4490903317928314,0.13264669477939606,0.010975364496000124
xgboost,42,platt,0.7866902346385003,0.4490903317928314,0.13266271352767944,0.01220070951059461
xgboost,42,isotonic,0.7854563348815067,0.4454878866672516,0.13329775631427765,0.015292142771464956
xgboost,43,raw,0.7883230171046259,0.45609572529792786,0.13231442868709564,0.014572777455362182
xgboost,43,platt,0.7883230171046259,0.45609572529792786,0.13231053948402405,0.014642699609821045
xgboost,43,isotonic,0.7878216520984842,0.45238298177719116,0.132956862449646,0.014831769606389761
xgboost,44,raw,0.7877300550179155,0.4520009458065033,0.1324949413537979,0.013974172580676774
xgboost,44,platt,0.7877300550179155,0.4520009458065033,0.1325039118528366,0.014686127582564953
xgboost,44,isotonic,0.7873956772950995,0.4481148421764374,0.13317440450191498,0.015356983269055048
xgboost,45,raw,0.7883422073380549,0.4528122544288635,0.13227999210357666,0.010887507269314171
xgboost,45,platt,0.7883422073380549,0.4528122544288635,0.13230401277542114,0.012816292444864904
xgboost,45,isotonic,0.787924053764261,0.4510084092617035,0.13279634714126587,0.014010944885333266
xgboost,46,raw,0.7889779846094328,0.4534241259098053,0.1322244107723236,0.01248824884463102
xgboost,46,platt,0.7889779846094328,0.4534241259098053,0.13222737610340118,0.014022144651661319
xgboost,46,isotonic,0.7877723864151854,0.4518263339996338,0.1327861249446869,0.0212771467755723
lightgbm,42,raw,0.7851221990523894,0.45227267999350435,0.13383951571390326,0.029135867271309148
lightgbm,42,platt,0.7851221990523894,0.45227267999350435,0.13304294631219438,0.015598191849934735
lightgbm,42,isotonic,0.7838681414871722,0.44413037683329215,0.13366012703778113,0.015960688507094128
lightgbm,43,raw,0.7859360100859996,0.4509519403986828,0.1334394681756279,0.022112260844282396
lightgbm,43,platt,0.7859360100859996,0.4509519403986828,0.1330659673117557,0.013273543826780072
lightgbm,43,isotonic,0.7853159559050364,0.44340566331203113,0.13335288783944682,0.015544102784478962
lightgbm,44,raw,0.7870249348862478,0.44777748875960294,0.13311815128351134,0.017424085916128085
lightgbm,44,platt,0.7870249348862478,0.44777748875960294,0.13288434729879586,0.011786353681828482
lightgbm,44,isotonic,0.7866683029431529,0.4440108813461417,0.13321926747866533,0.013924872201363429
lightgbm,45,raw,0.7859692301539525,0.4506906952041026,0.1335359120749044,0.02788703855477152
lightgbm,45,platt,0.7859692301539525,0.4506906952041026,0.13287327940580568,0.015927851945666587
lightgbm,45,isotonic,0.7850863987849841,0.44905355865140073,0.13336330669656518,0.017681288960623497
lightgbm,46,raw,0.7854780246831556,0.4501786868752189,0.13406135988658918,0.031673229089139894
lightgbm,46,platt,0.7854780246831556,0.4501786868752189,0.1330033854542413,0.015700598462262155
lightgbm,46,isotonic,0.7841965524987538,0.44676395416211173,0.13349818618042256,0.01670030732758885
mlp,42,raw,0.7697055073228479,0.4238453325240108,0.13536411224947775,0.019169520541818384
mlp,42,platt,0.7697055073228479,0.4238453325240108,0.1355954883235623,0.02119533218989111
mlp,42,isotonic,0.7690075633709083,0.4181961470849148,0.13594091664489547,0.013472739035032277
mlp,43,raw,0.7670874111907443,0.4143809996692506,0.13570608057575506,0.014721773054490742
mlp,43,platt,0.7670874111907443,0.4143809996692506,0.13604405969618105,0.019395113664732816
mlp,43,isotonic,0.766706428615315,0.41261517566884814,0.13597564831111209,0.018566704267336663
mlp,44,raw,0.7689970813106318,0.419334337568462,0.136263275130885,0.019229126133951432
mlp,44,platt,0.7689970813106318,0.419334337568462,0.13658924514403017,0.023919717993834383
mlp,44,isotonic,0.7678118828183068,0.4173874158189771,0.1367521290290606,0.019086812248387416
mlp,45,raw,0.7592844042585547,0.41780750454236054,0.13653003658977672,0.012320917759264693
mlp,45,platt,0.7592844042585547,0.41780750454236054,0.13683987213670995,0.018748642037741837
mlp,45,isotonic,0.7578740833639867,0.41780750454236054,0.13668177463438877,0.016744462553619895
mlp,46,raw,0.7659759902765183,0.42347120360337753,0.13577493585445286,0.012897339549540763
mlp,46,platt,0.7659759902765183,0.42347120360337753,0.1359601716031052,0.0165924235125197
mlp,46,isotonic,0.764507534263033,0.4170894027821968,0.1358813150329477,0.017781486669961
