model,cutoff,accept_rate,profit_per_1000
scorecard,0.01,0.00031092549801078347,344.16682566266
scorecard,0.02,0.029347127119063267,35414.04026485199
scorecard,0.03,0.029347127119063267,35414.04026485199
scorecard,0.04,0.072283111798916,87769.59321758425
scorecard,0.05,0.10315660045366856,126679.47223929953
scorecard,0.060000000000000005,0.1654582971175793,202691.01771568687
scorecard,0.06999999999999999,0.19467116095341064,234162.18315631777
scorecard,0.08,0.27849031537738583,324475.7525457025
scorecard,0.09,0.3531336343657473,398379.09965868865
scorecard,0.09999999999999999,0.3531371676100429,398383.0787984143
scorecard,0.11,0.43905506914559084,474956.9742709151
scorecard,0.12,0.4718612424300241,504658.2377944076
scorecard,0.13,0.5405581112689294,558940.68756934
scorecard,0.14,0.5663578611152332,580712.4008041663
scorecard,0.15000000000000002,0.6186958088656166,615954.971204059
scorecard,0.16,0.6862231738426858,656393.9917534079
scorecard,0.17,0.6876859369810547,657282.0238070001
scorecard,0.18000000000000002,0.7571919187636471,682067.2437161249
scorecard,0.19,0.7590009398429827,683283.8613766934
scorecard,0.2,0.8252280709192795,703122.3083038308
scorecard,0.21000000000000002,0.8783221329489164,712352.2075710358
scorecard,0.22,0.8819048426646315,712547.2838891126
scorecard,0.23,0.8939602722011405,713011.2723212709
scorecard,0.24000000000000002,0.9328436256739664,713772.4633425904
scorecard,0.25,0.9454997067407235,713060.0847625305
scorecard,0.26,0.9558768452368334,712628.8628253235
scorecard,0.27,0.9700592878392797,711779.1732208349
scorecard,0.28,0.9705398090634783,711812.866450432
scorecard,0.29000000000000004,0.9837364765074587,709258.6742560754
scorecard,0.3,0.9963360256654865,707075.7041049232
scorecard,0.31,0.9963360256654865,707075.7041049232
scorecard,0.32,0.9963360256654865,707075.7041049232
scorecard,0.33,0.9963360256654865,707075.7041049232
scorecard,0.34,0.9992120865220863,705899.5110696544
scorecard,0.35000000000000003,0.9995618777073484,705498.0824729885
scorecard,0.36000000000000004,0.9995618777073484,705498.0824729885
scorecard,0.37,0.9995618777073484,705498.0824729885
scorecard,0.38,0.999565410951644,705479.7096026514
scorecard,0.39,0.9995724774402351,705485.9425282483
scorecard,0.4,0.9998480704952902,705279.1307512383
scorecard,0.41000000000000003,0.9998480704952902,705279.1307512383
scorecard,0.42000000000000004,0.9998480704952902,705279.1307512383
scorecard,0.43,0.9998480704952902,705279.1307512383
scorecard,0.44,0.9999046024040195,705247.3922537152
scorecard,0.45,0.9999046024040195,705247.3922537152
scorecard,0.46,0.9999046024040195,705247.3922537152
scorecard,0.47000000000000003,0.9999046024040195,705247.3922537152
scorecard,0.48000000000000004,0.9999046024040195,705247.3922537152
scorecard,0.49,0.9999046024040195,705247.3922537152
scorecard,0.5,0.9999576010684531,705250.8979387052
scorecard,0.51,0.9999576010684531,705250.8979387052
scorecard,0.52,0.9999576010684531,705250.8979387052
scorecard,0.53,0.9999576010684531,705250.8979387052
scorecard,0.54,0.9999576010684531,705250.8979387052
scorecard,0.55,0.9999576010684531,705250.8979387052
scorecard,0.56,0.9999576010684531,705250.8979387052
scorecard,0.5700000000000001,0.9999576010684531,705250.8979387052
scorecard,0.5800000000000001,0.9999576010684531,705250.8979387052
scorecard,0.59,0.9999576010684531,705250.8979387052
scorecard,0.6,0.9999576010684531,705250.8979387052
scorecard,0.61,0.9999576010684531,705250.8979387052
scorecard,0.62,0.9999576010684531,705250.8979387052
scorecard,0.63,0.9999576010684531,705250.8979387052
scorecard,0.64,0.9999576010684531,705250.8979387052
scorecard,0.65,0.9999576010684531,705250.8979387052
scorecard,0.66,0.9999576010684531,705250.8979387052
scorecard,0.67,0.9999576010684531,705250.8979387052
scorecard,0.68,0.9999576010684531,705250.8979387052
scorecard,0.6900000000000001,0.9999576010684531,705250.8979387052
scorecard,0.7000000000000001,0.9999576010684531,705250.8979387052
scorecard,0.7100000000000001,0.9999576010684531,705250.8979387052
scorecard,0.72,0.9999576010684531,705250.8979387052
scorecard,0.73,0.9999576010684531,705250.8979387052
scorecard,0.74,0.9999576010684531,705250.8979387052
scorecard,0.75,0.9999576010684531,705250.8979387052
scorecard,0.76,0.9999576010684531,705250.8979387052
scorecard,0.77,0.9999576010684531,705250.8979387052
scorecard,0.78,1.0,705170.8092189409
scorecard,0.79,1.0,705170.8092189409
scorecard,0.8,1.0,705170.8092189409
scorecard,0.81,1.0,705170.8092189409
scorecard,0.8200000000000001,1.0,705170.8092189409
scorecard,0.8300000000000001,1.0,705170.8092189409
scorecard,0.8400000000000001,1.0,705170.8092189409
scorecard,0.85,1.0,705170.8092189409
scorecard,0.86,1.0,705170.8092189409
scorecard,0.87,1.0,705170.8092189409
scorecard,0.88,1.0,705170.8092189409
scorecard,0.89,1.0,705170.8092189409
scorecard,0.9,1.0,705170.8092189409
scorecard,0.91,1.0,705170.8092189409
scorecard,0.92,1.0,705170.8092189409
scorecard,0.93,1.0,705170.8092189409
scorecard,0.9400000000000001,1.0,705170.8092189409
scorecard,0.9500000000000001,1.0,705170.8092189409
scorecard,0.9600000000000001,1.0,705170.8092189409
scorecard,0.97,1.0,705170.8092189409
scorecard,0.98,1.0,705170.8092189409
scorecard,0.99,1.0,705170.8092189409
xgboost,0.01,0.0024026061209924177,2422.6575650293607
xgboost,0.02,0.020464550959982473,24906.417714273597
xgboost,0.03,0.06822341410329794,88682.67696254054
xgboost,0.04,0.08847243716125021,114024.25392013452
xgboost,0.05,0.1431352596581233,178926.880145287
xgboost,0.060000000000000005,0.2002395539632401,240645.55415403532
xgboost,0.06999999999999999,0.2437231915089073,284624.05941503606
xgboost,0.08,0.3145400069251588,356477.9225230191
xgboost,0.09,0.33019934564315645,371497.57630041055
xgboost,0.09999999999999999,0.42142771335495677,452458.58200306684
xgboost,0.11,0.5145710994749599,536572.046137104
xgboost,0.12,0.5673648357394727,576251.5306014288
xgboost,0.13,0.5998176845943483,598352.0855681103
xgboost,0.14,0.5998353508158261,598413.5839463513
xgboost,0.15000000000000002,0.6587804653989386,634808.0681633491
xgboost,0.16,0.6768212107721552,645404.7041614552
xgboost,0.17,0.7556302247850021,688875.0663189953
xgboost,0.18000000000000002,0.7894963713581085,702747.4280101475
xgboost,0.19,0.7994283210729757,704658.6519613039
xgboost,0.2,0.8236027785433141,710438.4789029984
xgboost,0.21000000000000002,0.84482344378255,716929.2752255978
xgboost,0.22,0.9005109071251405,727016.9999222686
xgboost,0.23,0.9066022202907154,728516.6205224963
xgboost,0.24000000000000002,0.9066057535350109,728504.9078176563
xgboost,0.25,0.9188060460876386,727819.0685308063
xgboost,0.26,0.9382565559347904,727250.1272674594
xgboost,0.27,0.9560853066502724,726172.5896207415
xgboost,0.28,0.9611555122144255,725336.6785030351
xgboost,0.29000000000000004,0.9785496738815516,719137.8850352971
xgboost,0.3,0.9809734794683174,718063.9353274964
xgboost,0.31,0.9812314063018945,717899.4561277055
xgboost,0.32,0.9878774388218751,715168.8222990114
xgboost,0.33,0.9878774388218751,715168.8222990114
xgboost,0.34,0.9878880385547617,715127.4416484705
xgboost,0.35000000000000003,0.9878951050433529,715134.0944294869
xgboost,0.36000000000000004,0.997526728993096,707995.1932331305
xgboost,0.37,0.997526728993096,707995.1932331305
xgboost,0.38,0.9979542515528609,707405.562669154
xgboost,0.39,0.9985690360602912,707168.6693095334
xgboost,0.4,0.9992686184308155,706097.0895960088
xgboost,0.41000000000000003,0.9992686184308155,706097.0895960088
xgboost,0.42000000000000004,0.9992721516751111,706071.4824079766
xgboost,0.43,0.9992756849194067,706048.5163200554
xgboost,0.44,0.9992756849194067,706048.5163200554
xgboost,0.45,0.9992756849194067,706048.5163200554
xgboost,0.46,0.9992792181637022,706008.0385900942
xgboost,0.47000000000000003,0.9997067407234671,705572.3658250478
xgboost,0.48000000000000004,0.999883402938246,705361.5008161794
xgboost,0.49,0.9998904694268371,705358.6216460678
xgboost,0.5,0.9999788005342265,705211.224481143
xgboost,0.51,0.9999788005342265,705211.224481143
xgboost,0.52,0.9999788005342265,705211.224481143
xgboost,0.53,0.9999823337785221,705231.2458219386
xgboost,0.54,0.9999823337785221,705231.2458219386
xgboost,0.55,0.9999823337785221,705231.2458219386
xgboost,0.56,0.9999858670228177,705251.4162656433
xgboost,0.5700000000000001,0.9999858670228177,705251.4162656433
xgboost,0.5800000000000001,0.9999858670228177,705251.4162656433
xgboost,0.59,0.9999858670228177,705251.4162656433
xgboost,0.6,0.9999858670228177,705251.4162656433
xgboost,0.61,0.9999858670228177,705251.4162656433
xgboost,0.62,0.9999858670228177,705251.4162656433
xgboost,0.63,0.9999858670228177,705251.4162656433
xgboost,0.64,0.9999858670228177,705251.4162656433
xgboost,0.65,0.9999858670228177,705251.4162656433
xgboost,0.66,0.9999858670228177,705251.4162656433
xgboost,0.67,0.9999858670228177,705251.4162656433
xgboost,0.68,0.9999858670228177,705251.4162656433
xgboost,0.6900000000000001,0.9999894002671132,705173.3315667111
xgboost,0.7000000000000001,0.9999894002671132,705173.3315667111
xgboost,0.7100000000000001,0.9999929335114088,705176.3150381944
xgboost,0.72,0.9999929335114088,705176.3150381944
xgboost,0.73,0.9999929335114088,705176.3150381944
xgboost,0.74,0.9999929335114088,705176.3150381944
xgboost,0.75,0.9999929335114088,705176.3150381944
xgboost,0.76,0.9999929335114088,705176.3150381944
xgboost,0.77,0.9999929335114088,705176.3150381944
xgboost,0.78,0.9999929335114088,705176.3150381944
xgboost,0.79,0.9999929335114088,705176.3150381944
xgboost,0.8,0.9999929335114088,705176.3150381944
xgboost,0.81,0.9999929335114088,705176.3150381944
xgboost,0.8200000000000001,0.9999929335114088,705176.3150381944
xgboost,0.8300000000000001,0.9999929335114088,705176.3150381944
xgboost,0.8400000000000001,0.9999929335114088,705176.3150381944
xgboost,0.85,0.9999929335114088,705176.3150381944
xgboost,0.86,0.9999929335114088,705176.3150381944
xgboost,0.87,0.9999929335114088,705176.3150381944
xgboost,0.88,0.9999929335114088,705176.3150381944
xgboost,0.89,0.9999929335114088,705176.3150381944
xgboost,0.9,0.9999964667557044,705154.8991612078
xgboost,0.91,0.9999964667557044,705154.8991612078
xgboost,0.92,0.9999964667557044,705154.8991612078
xgboost,0.93,0.9999964667557044,705154.8991612078
xgboost,0.9400000000000001,0.9999964667557044,705154.8991612078
xgboost,0.9500000000000001,1.0,705170.8092189409
xgboost,0.9600000000000001,1.0,705170.8092189409
xgboost,0.97,1.0,705170.8092189409
xgboost,0.98,1.0,705170.8092189409
xgboost,0.99,1.0,705170.8092189409
lightgbm,0.01,0.0005476528658144482,488.6017539024684
lightgbm,0.02,0.013966914700416217,17403.397143725306
lightgbm,0.03,0.05195635736646103,65896.9693950379
lightgbm,0.04,0.09102343954265686,113043.92433910664
lightgbm,0.05,0.15072113516072727,183360.3792937751
lightgbm,0.060000000000000005,0.20902319928204477,244447.17351056082
lightgbm,0.06999999999999999,0.24239115840947476,279059.6006727297
lightgbm,0.08,0.28974016521450324,330290.88366439834
lightgbm,0.09,0.3727643396719736,409565.0952562662
lightgbm,0.09999999999999999,0.42747662758898475,459082.2084543469
lightgbm,0.11,0.49766452552062357,518113.8044914601
lightgbm,0.12,0.5076070749683774,526943.5292163971
lightgbm,0.13,0.5638457244210779,570705.7248803998
lightgbm,0.14,0.6187664737515282,608703.6487460515
lightgbm,0.15000000000000002,0.6527174181877283,631291.2726745954
lightgbm,0.16,0.6837110371485305,649536.5321560564
lightgbm,0.17,0.7371796230734986,677702.5872888004
lightgbm,0.18000000000000002,0.7535067449633602,684230.4867750667
lightgbm,0.19,0.7901818207514504,700362.4851780402
lightgbm,0.2,0.8281359309745394,709919.0483559814
lightgbm,0.21000000000000002,0.8469327906270095,715574.8460918784
lightgbm,0.22,0.8928543667366249,721746.1497530262
lightgbm,0.23,0.8992495389116194,722238.0795403955
lightgbm,0.24000000000000002,0.9066446192222622,723107.2515952599
lightgbm,0.25,0.9365323327185489,725927.2185594257
lightgbm,0.26,0.9442948704359316,725261.7429140785
lightgbm,0.27,0.9442984036802272,725264.3319341686
lightgbm,0.28,0.9630422646682637,722511.6574095666
lightgbm,0.29000000000000004,0.9649961487637179,722151.1321221371
lightgbm,0.3,0.9829273635637715,715767.5989485065
lightgbm,0.31,0.9829308968080671,715778.5747599159
lightgbm,0.32,0.9838707397906906,715195.6395172175
lightgbm,0.33,0.9838813395235774,715211.9826093715
lightgbm,0.34,0.983884872767873,715215.3038590093
lightgbm,0.35000000000000003,0.996240628069506,707734.9592616932
lightgbm,0.36000000000000004,0.9962441613138016,707654.5779539688
lightgbm,0.37,0.9967529484923646,707452.2825111473
lightgbm,0.38,0.9984277062884682,706092.6603916248
lightgbm,0.39,0.9997385399221272,705381.8172535385
lightgbm,0.4,0.9997385399221272,705381.8172535385
lightgbm,0.41000000000000003,0.9997385399221272,705381.8172535385
lightgbm,0.42000000000000004,0.9997385399221272,705381.8172535385
lightgbm,0.43,0.9997385399221272,705381.8172535385
lightgbm,0.44,0.9997385399221272,705381.8172535385
lightgbm,0.45,0.9997385399221272,705381.8172535385
lightgbm,0.46,0.9997420731664228,705397.031686135
lightgbm,0.47000000000000003,0.9997420731664228,705397.031686135
lightgbm,0.48000000000000004,0.99981627129663,705298.1306311081
lightgbm,0.49,1.0,705170.8092189409
lightgbm,0.5,1.0,705170.8092189409
lightgbm,0.51,1.0,705170.8092189409
lightgbm,0.52,1.0,705170.8092189409
lightgbm,0.53,1.0,705170.8092189409
lightgbm,0.54,1.0,705170.8092189409
lightgbm,0.55,1.0,705170.8092189409
lightgbm,0.56,1.0,705170.8092189409
lightgbm,0.5700000000000001,1.0,705170.8092189409
lightgbm,0.5800000000000001,1.0,705170.8092189409
lightgbm,0.59,1.0,705170.8092189409
lightgbm,0.6,1.0,705170.8092189409
