model,calibration,p_mean,y_rate,n
scorecard,raw,0.034359284708602486,0.033035367275553826,28303
scorecard,raw,0.054721461918723645,0.061088930502066915,28303
scorecard,raw,0.07184473790210953,0.08567996325477864,28303
scorecard,raw,0.0883287054611079,0.10949369324806557,28303
scorecard,raw,0.10544889361336734,0.131116842737519,28303
scorecard,raw,0.123408178487439,0.15030208811786736,28303
scorecard,raw,0.14358216033583943,0.1788566179068617,28302
scorecard,raw,0.16750645535615077,0.20553317786728853,28302
scorecard,raw,0.19889633526188025,0.23913504345982617,28302
scorecard,raw,0.2574218998057437,0.29439615574871036,28302
scorecard,isotonic,0.029944529640560005,0.03296470338833339,28303
scorecard,isotonic,0.0572587998811912,0.06147758188177932,28303
scorecard,isotonic,0.0758976958659952,0.08624527435254213,28303
scorecard,isotonic,0.09263482219279645,0.10896371409391231,28303
scorecard,isotonic,0.11325561974350441,0.13164682189167226,28303
scorecard,isotonic,0.13497408976677802,0.14948945341483236,28303
scorecard,isotonic,0.1566239143980187,0.17889195109886227,28302
scorecard,isotonic,0.18574071471407053,0.20782983534732527,28302
scorecard,isotonic,0.2079810728900618,0.23835771323581373,28302
scorecard,isotonic,0.2596903349176644,0.2927708289166843,28302
xgboost,raw,0.02831458921458667,0.032576052008620994,28303
xgboost,raw,0.044705010861983904,0.06126559022011801,28303
xgboost,raw,0.05996343672375049,0.08334805497650426,28303
xgboost,raw,0.07555274414247713,0.10571317528177225,28303
xgboost,raw,0.09181531376256684,0.12320248736883016,28303
xgboost,raw,0.10978730009692433,0.14804084372681342,28303
xgboost,raw,0.1303229930996684,0.17302664122676842,28302
xgboost,raw,0.15497237270177106,0.20486184721927778,28302
xgboost,raw,0.18867717202720974,0.24443502225991096,28302
xgboost,raw,0.26295927512958256,0.3121687513249947,28302
xgboost,isotonic,0.028500809188608613,0.03261138395223121,28303
xgboost,isotonic,0.04840128248550801,0.061194926332897574,28303
xgboost,isotonic,0.06834542239382634,0.08348938275094513,28303
xgboost,isotonic,0.08977063585892628,0.10525386001483941,28303
xgboost,isotonic,0.10468767200271953,0.12394445818464474,28303
xgboost,isotonic,0.1190424752109898,0.14775818817793165,28303
xgboost,isotonic,0.1516040019782076,0.1761006289308176,28302
xgboost,isotonic,0.1745638773945665,0.20175252632322804,28302
xgboost,isotonic,0.2091231569363476,0.24454102183591267,28302
xgboost,isotonic,0.2791711001325712,0.3119920853649919,28302
lightgbm,raw,0.029241782774807296,0.03603858248242236,28303
lightgbm,raw,0.04410439230009042,0.05893368194184362,28303
lightgbm,raw,0.06136584196014738,0.083630710525386,28303
lightgbm,raw,0.07765072633070214,0.10433522948097375,28303
lightgbm,raw,0.09423830029056521,0.12652369006819064,28303
lightgbm,raw,0.11189886839745432,0.14846482705013603,28303
lightgbm,raw,0.13169013779652833,0.17062398417073,28302
lightgbm,raw,0.15536942721754265,0.205250512331284,28302
lightgbm,raw,0.18829249034478054,0.24475302098791604,28302
lightgbm,raw,0.25903819493644653,0.3100840929969613,28302
lightgbm,isotonic,0.028691452191276473,0.03582659082076105,28303
lightgbm,isotonic,0.04869065393392325,0.05918100554711515,28303
lightgbm,isotonic,0.06890832708630619,0.0830300674840123,28303
lightgbm,isotonic,0.08730231612764841,0.10528919195844963,28303
lightgbm,isotonic,0.10446875273005429,0.12613503868847825,28303
lightgbm,isotonic,0.12591371529412604,0.14853549093735646,28303
lightgbm,isotonic,0.14817382714092764,0.1708006501307328,28302
lightgbm,isotonic,0.17605865330556236,0.20468518125927496,28302
lightgbm,isotonic,0.20855267306772107,0.24514168609992226,28302
lightgbm,isotonic,0.2787815027730067,0.3100134266129602,28302
mlp,raw,0.03134643046808306,0.040172419884817866,28303
mlp,raw,0.053206803896347424,0.06451612903225806,28303
mlp,raw,0.06891555782006037,0.08529131187506625,28303
mlp,raw,0.08348854764123326,0.10274529201851394,28303
mlp,raw,0.09994285335937791,0.12620570257569869,28303
mlp,raw,0.1188996798027316,0.1491714659223404,28303
mlp,raw,0.1409483118730088,0.1767366263868278,28302
mlp,raw,0.16710250658976036,0.2090311638753445,28302
mlp,raw,0.19821113427967707,0.24012437283584198,28302
mlp,raw,0.2574059836965681,0.2946434880927143,28302
mlp,isotonic,0.03627757776705578,0.04027841571564852,28303
mlp,isotonic,0.0584275085308138,0.06441013320142741,28303
mlp,isotonic,0.07541191164947363,0.08504398826979472,28303
mlp,isotonic,0.09055705196815353,0.10384058227043069,28303
mlp,isotonic,0.10945792946873693,0.12390912624103452,28303
mlp,isotonic,0.1314775670170075,0.1507614033848002,28303
mlp,isotonic,0.15886105941583084,0.17744329022683908,28302
mlp,isotonic,0.18304063629262143,0.207688502579323,28302
mlp,isotonic,0.2125752752425164,0.24090170305985442,28302
mlp,isotonic,0.2587716369669001,0.29436082255670976,28302
