feature,iv,bin,woe,points
sub_grade,0.2639,A1,1.5449,80.7
sub_grade,0.2639,A2,1.1991,74.3
sub_grade,0.2639,A3,0.9671,69.9
sub_grade,0.2639,A4,0.7398,65.7
sub_grade,0.2639,A5,0.5759,62.6
sub_grade,0.2639,B1,0.4286,59.9
sub_grade,0.2639,B2,0.3342,58.1
sub_grade,0.2639,B3,0.2132,55.9
sub_grade,0.2639,B4,0.0758,53.3
sub_grade,0.2639,B5,-0.0581,50.8
sub_grade,0.2639,C1,-0.1081,49.9
sub_grade,0.2639,C2,-0.2004,48.2
sub_grade,0.2639,C3,-0.3473,45.4
sub_grade,0.2639,C4,-0.3898,44.6
sub_grade,0.2639,C5,-0.3889,44.6
sub_grade,0.2639,D1,-0.5449,41.7
sub_grade,0.2639,D2,-0.554,41.6
sub_grade,0.2639,D3,-0.5629,41.4
sub_grade,0.2639,D4,-0.654,39.7
sub_grade,0.2639,other (rare levels pooled),-0.7308,38.3
int_rate,0.2413,"(min, 7.9]",1.0079,52.6
int_rate,0.2413,"(7.9, 9.99]",0.5264,52.2
int_rate,0.2413,"(9.99, 11.36]",0.3029,52.1
int_rate,0.2413,"(11.36, 12.85]",0.1085,52.0
int_rate,0.2413,"(12.85, 14.09]",-0.0435,51.9
int_rate,0.2413,"(14.09, 15.31]",-0.2286,51.7
int_rate,0.2413,"(15.31, 17.77]",-0.4597,51.6
int_rate,0.2413,"(17.77, max]",-0.6456,51.5
grade,0.2364,A,0.8776,54.1
grade,0.2364,B,0.1916,52.4
grade,0.2364,C,-0.2668,51.2
grade,0.2364,D,-0.573,50.4
grade,0.2364,E,-0.7225,50.1
grade,0.2364,other (rare levels pooled),-1.0355,49.3
fico,0.1387,"(742.0, max]",0.899,56.1
fico,0.1387,"(717.0, 742.0]",0.4307,53.9
fico,0.1387,"(707.0, 717.0]",0.2661,53.2
fico,0.1387,"(697.0, 707.0]",0.1103,52.4
fico,0.1387,"(687.0, 697.0]",-0.0508,51.7
fico,0.1387,"(677.0, 687.0]",-0.1719,51.1
fico,0.1387,"(667.0, 677.0]",-0.2845,50.6
fico,0.1387,"(min, 667.0]",-0.4418,49.8
annual_inc,0.0858,"(107800.0, max]",0.4538,61.8
annual_inc,0.0858,"(84386.75, 107800.0]",0.3866,60.3
annual_inc,0.0858,missing,0.2634,57.6
annual_inc,0.0858,"(70000.0, 84386.75]",0.2484,57.3
annual_inc,0.0858,"(60000.0, 70000.0]",0.0922,53.9
annual_inc,0.0858,"(50000.0, 60000.0]",-0.0138,51.6
annual_inc,0.0858,"(42000.0, 50000.0]",-0.1333,49.0
annual_inc,0.0858,"(33000.0, 42000.0]",-0.2853,45.7
annual_inc,0.0858,"(min, 33000.0]",-0.4231,42.7
revol_util,0.0357,"(min, 24.6]",0.4041,53.3
revol_util,0.0357,"(24.6, 38.5]",0.161,52.5
revol_util,0.0357,"(38.5, 48.9]",0.059,52.1
revol_util,0.0357,"(48.9, 57.9]",0.0209,52.0
revol_util,0.0357,"(57.9, 66.4]",-0.0274,51.8
revol_util,0.0357,"(66.4, 75.2]",-0.097,51.6
revol_util,0.0357,"(75.2, 85.0]",-0.1316,51.4
revol_util,0.0357,"(85.0, max]",-0.2801,50.9
revol_util,0.0357,missing,-0.3567,50.6
dti,0.0349,"(min, 6.98]",0.2653,56.0
dti,0.0349,"(6.98, 10.32]",0.2043,55.0
dti,0.0349,"(10.32, 13.11]",0.1599,54.4
dti,0.0349,"(13.11, 15.73]",0.0751,53.1
dti,0.0349,"(15.73, 18.47]",-0.0308,51.4
dti,0.0349,"(18.47, 21.5]",-0.0861,50.6
dti,0.0349,"(21.5, 25.31]",-0.1813,49.1
dti,0.0349,"(25.31, max]",-0.3038,47.2
inq_last_6mths,0.0306,"(min, 1.0]",0.0932,53.8
inq_last_6mths,0.0306,missing,0.0904,53.7
inq_last_6mths,0.0306,"(1.0, 2.0]",-0.2038,47.7
inq_last_6mths,0.0306,"(2.0, max]",-0.4291,43.1
mort_acc,0.0301,"(4.0, max]",0.3569,53.7
mort_acc,0.0301,"(2.0, 3.0]",0.2439,53.1
mort_acc,0.0301,"(3.0, 4.0]",0.2398,53.1
mort_acc,0.0301,"(1.0, 2.0]",0.1685,52.8
mort_acc,0.0301,missing,0.0177,52.0
mort_acc,0.0301,"(min, 1.0]",-0.1478,51.1
home_ownership,0.0282,MORTGAGE,0.1867,52.8
home_ownership,0.0282,OWN,-0.0489,51.7
home_ownership,0.0282,RENT,-0.1619,51.1
home_ownership,0.0282,other (rare levels pooled),-0.5101,49.4
purpose,0.0228,major_purchase,0.316,57.5
purpose,0.0228,credit_card,0.1981,55.4
purpose,0.0228,home_improvement,0.1337,54.3
purpose,0.0228,debt_consolidation,-0.0281,51.4
purpose,0.0228,other (rare levels pooled),-0.2457,47.5
purpose,0.0228,other,-0.2815,46.9
